Genero,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,k,kr
1,1,2,4,2,1,1,3,3,3,2,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
1,1,2,4,2,1,1,3,3,3,2,1,2,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
1,1,2,4,3,1,1,4,3,3,4,1,2,2,2,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
1,1,2,4,3,1,1,4,4,3,4,1,2,2,2,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
1,1,2,4,3,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
1,1,5,5,2,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
1,1,5,5,2,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
1,1,5,5,2,1,1,4,4,5,4,1,3,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
1,1,5,5,2,1,1,5,4,5,4,1,3,2,2,4,4,4,4,3,2,3,3,3,4,3,4,1,1,3.3706582496804316,3
1,1,1,5,2,1,1,5,5,5,4,1,3,2,2,4,4,4,4,3,2,3,3,3,4,3,4,1,1,3.3706582496804316,3
1,1,1,5,2,1,1,5,5,5,5,1,3,2,2,4,4,4,4,4,3,3,3,3,4,3,4,1,1,3.5987816517943,3
1,1,1,5,5,2,2,5,5,5,5,2,4,3,3,4,4,4,4,4,3,3,3,3,4,3,5,1,1,3.5987816517943,3
1,1,1,5,5,2,2,5,5,5,5,2,4,3,3,4,4,4,4,4,3,4,3,3,5,4,5,1,1,3.732247330036981,4
1,1,1,5,5,2,3,5,5,5,5,2,4,4,4,5,4,4,5,4,3,4,3,3,5,4,5,1,1,3.9798137213503786,4
1,1,1,5,5,2,3,5,5,5,5,2,4,4,4,5,4,4,5,4,3,4,4,4,5,4,5,1,1,4.11298178054544,4
1,1,1,5,5,3,3,5,5,5,5,3,5,4,4,5,5,4,5,4,4,4,4,4,5,4,5,3,3,4.3816997604307195,4
2,1,4,4,4,1,1,5,3,5,2,1,5,4,4,5,5,4,5,4,4,5,5,4,5,4,5,3,3,4.648333497868462,4
2,1,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
2,1,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
2,1,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
2,1,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
2,1,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
2,1,4,4,4,1,1,4,3,3,4,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
2,1,4,4,4,1,1,4,3,3,4,1,2,2,2,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
2,1,4,4,4,1,1,4,3,3,4,1,2,2,2,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
2,1,4,4,4,1,1,4,3,3,4,1,2,2,2,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
2,1,4,4,4,1,1,4,3,3,4,1,2,2,2,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
2,1,4,4,4,1,1,4,4,3,4,1,2,2,2,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
2,1,4,4,4,1,1,4,4,4,4,1,2,2,2,4,4,2,4,3,2,2,2,2,4,2,4,1,1,2.8569383122073515,3
2,1,4,4,4,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
2,1,4,4,4,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
2,1,4,4,4,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
2,1,4,4,3,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
2,1,4,4,3,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
2,1,4,4,3,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,1,4,4,3,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,1,3,4,4,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,1,3,4,4,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,1,3,4,4,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,1,3,4,4,1,1,5,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,3,4,3,4,1,1,3.113947090467702,3
2,1,3,4,4,1,1,5,4,5,4,1,3,2,2,4,4,4,4,3,2,3,3,3,4,3,4,1,1,3.3706582496804316,3
2,1,3,4,5,1,1,5,4,5,4,1,3,2,2,4,4,4,4,3,2,3,3,3,4,3,4,1,1,3.3706582496804316,3
2,1,5,2,5,1,1,5,4,5,4,1,3,2,2,4,4,4,4,3,2,3,3,3,4,3,4,1,1,3.3706582496804316,3
2,1,5,2,5,1,1,5,4,5,4,1,3,2,2,4,4,4,4,3,2,3,3,3,4,3,4,1,1,3.3706582496804316,3
2,1,5,2,5,1,1,5,5,5,5,1,3,2,2,4,4,4,4,3,2,3,3,3,4,3,4,1,1,3.3706582496804316,3
2,1,5,2,5,1,1,5,5,5,5,1,3,2,2,4,4,4,4,4,3,3,3,3,4,3,4,1,1,3.5987816517943,3
2,1,3,3,4,1,1,5,5,5,5,1,3,2,2,4,4,4,4,4,3,3,3,3,4,3,4,1,1,3.5987816517943,3
2,1,3,3,5,1,1,5,5,5,5,1,3,2,2,4,4,4,4,4,3,3,3,3,4,3,4,1,1,3.5987816517943,3
2,1,3,3,5,1,1,5,5,5,5,1,3,2,2,4,4,4,4,4,3,3,3,3,4,3,4,1,1,3.5987816517943,3
2,1,3,3,5,2,2,5,5,5,5,2,3,2,2,4,4,4,4,4,3,3,3,3,4,3,4,1,1,3.5987816517943,3
2,1,3,3,5,2,2,5,5,5,5,2,4,2,2,4,4,4,4,4,3,3,3,3,5,3,5,1,1,3.5987816517943,3
2,1,3,5,5,2,2,5,5,5,5,2,4,3,3,4,4,4,4,4,3,4,3,3,5,4,5,1,1,3.732247330036981,4
2,1,3,5,5,2,2,5,5,5,5,2,4,3,3,4,4,4,4,4,3,4,3,3,5,4,5,1,1,3.732247330036981,4
2,1,3,5,5,2,2,5,5,5,5,2,4,3,3,4,4,4,4,4,3,4,3,3,5,4,5,1,1,3.732247330036981,4
2,1,3,5,5,2,3,5,5,5,5,2,4,3,3,4,4,4,4,4,3,4,3,3,5,4,5,1,1,3.732247330036981,4
2,1,3,5,5,2,3,5,5,5,5,2,4,3,3,4,4,4,4,4,3,4,3,3,5,4,5,1,1,3.732247330036981,4
2,1,3,5,5,2,3,5,5,5,5,2,4,4,4,5,4,4,5,4,3,4,3,4,5,4,5,1,1,3.9798137213503786,4
2,1,3,5,5,2,3,5,5,5,5,2,4,4,4,5,4,4,5,4,3,4,4,4,5,4,5,1,1,4.11298178054544,4
2,1,3,5,5,2,3,5,5,5,5,2,4,4,4,5,4,4,5,4,3,4,4,4,5,4,5,1,1,4.11298178054544,4
2,1,3,5,5,2,3,5,5,5,5,2,4,4,4,5,4,4,5,4,3,4,4,4,5,4,5,1,1,4.11298178054544,4
2,1,3,5,5,3,3,5,5,5,5,3,4,4,4,5,4,4,5,4,3,4,4,4,5,4,5,1,1,4.11298178054544,4
2,1,3,5,5,3,3,5,5,5,5,3,5,4,4,5,5,4,5,4,3,4,4,4,5,4,5,3,3,4.247115149662762,4
2,1,3,5,5,3,3,5,5,5,5,3,5,4,4,5,5,4,5,4,4,5,4,4,5,4,5,3,3,4.5151654386734,4
2,1,3,5,5,3,3,5,5,5,5,3,5,4,4,5,5,4,5,4,4,5,5,4,5,4,5,3,3,4.648333497868462,4
3,1,5,2,5,3,3,5,5,5,5,3,5,4,4,5,5,4,5,4,4,5,5,4,5,4,5,3,3,4.648333497868462,4
3,1,5,2,5,1,3,5,5,5,5,1,5,4,4,5,5,4,5,4,4,5,5,4,5,4,5,3,3,4.648333497868462,4
3,1,5,2,5,2,1,5,3,5,5,2,5,4,4,4,5,4,5,4,4,5,5,4,5,4,5,3,3,4.530333411023577,4
1,2,4,4,3,1,1,3,3,3,2,1,1,1,1,4,3,4,3,2,1,1,1,2,3,2,4,1,1,2.345567699105244,2
1,2,5,5,5,1,1,4,3,3,4,1,2,2,2,4,3,1,4,2,1,2,2,2,3,2,4,1,1,2.3711384409584917,2
1,2,5,5,5,1,1,4,4,4,4,1,2,2,2,4,4,2,4,3,2,3,2,2,4,2,4,1,1,2.9904039904500324,3
1,2,5,5,5,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
1,2,5,5,5,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
1,2,5,5,5,1,1,5,4,5,4,1,3,2,2,4,4,4,4,3,2,3,3,3,4,3,4,1,1,3.3706582496804316,3
1,2,1,5,5,1,1,5,5,5,5,1,4,2,2,4,4,4,4,4,3,3,3,3,4,3,4,1,1,3.5987816517943,3
1,2,1,5,5,2,2,5,5,5,5,2,4,3,3,4,4,4,4,4,3,4,3,3,5,3,5,1,1,3.732247330036981,4
1,2,1,5,5,2,2,5,5,5,5,2,4,3,3,5,4,4,5,4,3,4,3,3,5,4,5,1,1,3.9798137213503786,4
1,2,1,5,5,2,2,5,5,5,5,2,5,4,4,5,5,4,5,4,3,4,4,4,5,4,5,1,1,4.247115149662762,4
1,2,1,5,5,3,3,5,5,5,5,3,5,4,4,5,3,4,3,4,4,5,5,4,5,4,5,3,3,4.120934150696794,4
2,2,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,4,3,2,1,1,1,2,3,2,4,1,1,2.345567699105244,2
2,2,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
2,2,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,1,3,2,1,1,1,2,3,2,4,1,1,1.9749383990522371,2
2,2,4,4,4,1,1,3,3,3,2,1,1,1,1,4,3,1,4,2,1,1,1,2,3,2,4,1,1,2.104504703520749,2
2,2,4,4,4,1,1,4,3,3,4,1,2,3,3,4,3,1,4,2,1,2,2,2,3,2,4,1,1,2.3711384409584917,2
2,2,4,4,4,1,1,4,3,3,4,1,2,3,3,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
2,2,4,4,4,1,1,4,3,3,4,1,2,3,3,4,3,2,4,2,1,2,2,2,3,2,4,1,1,2.4946815409761607,2
2,2,4,4,4,1,1,4,3,4,4,1,2,2,2,4,4,2,4,2,1,2,2,2,3,2,4,1,1,2.6288149100934826,2
2,2,2,4,4,1,1,4,4,4,4,1,2,2,2,4,4,2,4,3,2,3,2,2,4,2,4,1,1,2.9904039904500324,3
2,2,5,4,4,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
2,2,5,4,4,1,1,4,4,4,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,2,4,1,1,3.113947090467702,3
2,2,5,4,4,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,2,5,4,4,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,2,5,4,3,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,2,5,4,3,1,1,4,4,5,4,1,2,2,2,4,4,3,4,3,2,3,2,2,4,3,4,1,1,3.113947090467702,3
2,2,5,4,3,1,1,5,4,5,4,1,2,2,2,4,4,3,4,3,2,3,3,3,4,3,4,1,1,3.247115149662763,3
2,2,5,4,3,1,1,5,4,5,4,1,3,2,2,4,4,3,4,3,2,3,3,3,4,3,4,1,1,3.247115149662763,3
2,2,4,2,4,1,1,5,4,5,4,1,3,2,2,4,4,5,4,3,2,3,3,3,4,3,4,1,1,3.4942013496981,3
2,2,4,2,2,1,1,5,4,5,4,1,3,2,2,4,4,5,4,3,2,3,3,3,4,3,4,1,1,3.4942013496981,3
2,2,4,2,2,1,1,5,5,5,5,1,3,2,2,4,4,5,4,4,3,3,3,3,4,3,4,1,1,3.7223247518119695,4
2,2,4,2,2,1,1,5,5,5,5,1,3,2,2,4,4,5,4,4,3,3,3,3,4,3,4,1,1,3.7223247518119695,4
2,2,4,2,2,1,1,5,5,5,5,1,4,2,2,4,4,5,4,4,3,3,3,3,4,3,4,1,1,3.7223247518119695,4
